"","Blastocatellaceae","Microtrichaceae","Mycobacteriaceae","Nocardiaceae","Cryptosporangiaceae","Fimbriimonadaceae","3713.","Chitinophagaceae","Saprospiraceae","uncultured","Microscillaceae","NS9marine.group.","NS9marine.group","AKYH767","KD393.","envOPS.17.","envOPS.17","metagenome","Anaerolineaceae","unculturedbacterium.","JG30KF.CM45.","unculturedChloroflexi.bacterium.","Peptostreptococcaceae","Nitrospiraceae","CandidatusRoizmanbacteria.bacterium.RIFCSPLOWO2_01_FULL_40_32.","wastewatermetagenome.","Phycisphaeraceae","Gemmataceae","Pirellulaceae","A0839","Beijerinckiaceae","Devosiaceae","RhizobialesIncertae.Sedis.","Xanthobacteraceae","Rhodobacteraceae","Sphingomonadaceae","Geminicoccaceae","Desulfarculaceae","Haliangiaceae","03196G20.","B17BS.","Burkholderiaceae","Chitinimonadaceae","Hydrogenophilaceae","Nitrosomonadaceae","Rhodocyclaceae","SCI.84.","SCI.84","UnknownFamily.","Moraxellaceae","Rhodanobacteraceae","Xanthomonadaceae","Leptospiraceae"
"S01",178,0,10,0,0,0,0,129,41,283,35,0,275,58,0,13,0,48,0,129,0,0,0,78,0,0,0,0,0,16,0,0,0,0,0,0,0,0,10,0,30,0,25,12,0,53,0,0,0,0,0,10,94
"S02",65,0,0,0,0,0,0,103,36,14,11,0,104,52,0,0,0,47,0,40,0,0,0,64,0,0,0,0,0,11,0,0,0,0,0,0,0,0,10,0,66,13,0,0,0,70,0,0,0,0,0,0,10
"S03",79,0,0,0,0,0,0,18,64,35,26,0,170,0,0,30,0,27,0,16,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,10,0,0,13,0,0,0,0,0,0,22
"S04",154,0,0,0,0,0,0,76,127,0,83,0,77,26,0,17,12,10,0,26,0,0,0,75,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,76,0,0,0,0,0,0,0
"S05",111,0,0,0,0,0,0,47,178,16,184,0,59,30,0,14,35,0,0,47,0,0,0,52,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,10,0,0,0,0,0,22,58
"S06",231,0,0,0,0,0,0,117,203,0,231,0,107,0,0,23,23,0,0,52,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,16,0,0,0,0,0,26,11
"S07",145,0,0,0,0,0,0,123,306,10,159,0,38,10,0,10,12,10,0,17,0,0,0,85,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,19,0,0,0,0,0,0,39
"S08",231,0,0,0,0,0,0,153,198,0,34,0,27,0,0,0,0,29,0,0,0,0,0,91,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,10,12,0,0,0,10,0,0,0,0,0,55,75
"S09",42,0,0,0,0,0,15,66,15,0,146,0,123,0,0,17,19,13,0,38,0,0,0,82,0,56,0,104,0,0,0,0,0,0,0,0,0,0,25,12,0,0,0,0,0,0,0,0,0,10,0,10,212
"S10",113,0,0,0,0,0,0,60,10,0,72,0,92,0,0,30,0,42,0,16,0,0,0,122,0,30,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,12,89
"S11",54,0,0,0,0,0,24,157,0,13,296,0,116,0,10,16,17,69,0,11,0,0,0,78,0,0,0,18,0,0,0,0,0,11,0,0,0,0,0,0,0,11,0,0,0,11,0,0,0,0,0,10,32
"S12",34,10,16,0,10,0,0,180,0,0,0,0,14,0,0,0,0,426,0,17,0,0,0,113,0,0,0,47,0,20,0,0,0,21,17,0,0,0,13,0,32,49,0,0,17,72,0,0,0,0,0,39,0
"S13",149,76,132,17,26,30,0,339,23,27,0,0,215,0,0,0,0,623,12,0,0,0,20,35,0,84,0,208,0,0,0,0,10,13,0,0,20,0,0,0,0,104,0,0,47,0,18,14,0,0,0,11,0
"S14",48,10,10,0,0,0,0,55,10,10,79,0,174,0,0,44,0,49,10,33,0,0,0,36,0,13,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,69
"S15",279,13,30,0,11,0,0,240,26,0,0,0,171,0,11,0,0,81,14,27,0,0,10,44,0,0,0,126,16,0,0,0,13,14,0,0,0,0,0,0,0,0,0,0,17,0,0,10,0,0,0,17,0
"S16",293,12,45,0,10,0,0,252,114,0,0,0,91,12,0,0,0,49,39,0,0,0,0,32,0,10,0,69,29,0,0,0,12,0,0,0,0,0,0,0,0,36,0,0,26,0,0,0,0,0,0,0,14
"S17",329,51,43,0,10,73,0,502,122,36,0,14,195,0,0,0,0,139,20,11,0,0,0,46,0,89,0,63,36,0,0,0,16,0,0,0,0,0,0,0,0,14,0,0,0,0,0,13,10,0,0,0,10
"S18",382,44,32,0,0,37,0,641,70,0,0,0,122,13,0,0,0,98,16,13,0,0,0,37,10,44,0,44,32,0,0,11,0,0,0,0,0,0,0,0,0,24,0,0,10,0,0,24,0,0,0,0,12
"S19",536,28,73,0,21,72,0,375,41,51,0,0,100,0,0,0,0,240,39,66,13,0,16,23,119,30,0,102,61,0,15,0,38,0,0,0,0,17,0,0,0,23,0,0,23,0,0,45,12,0,0,0,0
"S20",430,59,37,0,13,44,0,267,31,33,0,0,63,0,0,0,0,240,18,51,12,0,28,40,13,66,11,80,28,0,16,0,0,13,0,0,0,0,0,0,0,12,0,0,13,0,0,49,0,0,0,0,0
"S21",586,38,15,0,11,10,0,332,23,89,0,0,108,0,0,0,0,358,18,25,0,0,14,107,0,42,0,47,36,0,10,0,0,0,0,0,0,11,0,0,0,23,0,0,11,0,0,52,12,0,0,0,0
"S22",296,28,11,0,0,0,0,366,56,0,0,0,203,17,0,0,0,706,0,21,0,0,0,67,0,22,0,12,0,0,0,0,11,12,0,10,0,11,0,0,0,10,0,0,0,0,17,25,0,0,0,0,0
"S23",463,50,16,0,12,0,0,347,70,0,0,0,242,22,0,0,0,519,0,20,0,0,0,99,0,28,0,16,24,10,13,0,0,10,0,0,0,0,0,0,0,15,0,0,0,0,0,49,15,0,25,0,0
"S24",285,17,10,0,10,0,0,254,63,0,0,0,253,11,0,0,0,202,0,26,0,10,0,68,0,13,0,0,0,0,0,0,12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,12,0,0
